Altitude (m),Air density (kg/m3)
-1146,1.36556
-1145,1.36543
-1144,1.3653
-1143,1.36517
-1142,1.36505
-1141,1.36492
-1140,1.36479
-1139,1.36466
-1138,1.36453
-1137,1.36441
-1136,1.36428
-1135,1.36415
-1134,1.36402
-1133,1.3639
-1132,1.36377
-1131,1.36364
-1130,1.36351
-1129,1.36339
-1128,1.36326
-1127,1.36313
-1126,1.363
-1125,1.36287
-1124,1.36275
-1123,1.36262
-1122,1.36249
-1121,1.36236
-1120,1.36224
-1119,1.36211
-1118,1.36198
-1117,1.36185
-1116,1.36173
-1115,1.3616
-1114,1.36147
-1113,1.36134
-1112,1.36122
-1111,1.36109
-1110,1.36096
-1109,1.36083
-1108,1.36071
-1107,1.36058
-1106,1.36045
-1105,1.36032
-1104,1.3602
-1103,1.36007
-1102,1.35994
-1101,1.35981
-1100,1.35969
-1099,1.35956
-1098,1.35943
-1097,1.35931
-1096,1.35918
-1095,1.35905
-1094,1.35892
-1093,1.3588
-1092,1.35867
-1091,1.35854
-1090,1.35841
-1089,1.35829
-1088,1.35816
-1087,1.35803
-1086,1.35791
-1085,1.35778
-1084,1.35765
-1083,1.35752
-1082,1.3574
-1081,1.35727
-1080,1.35714
-1079,1.35701
-1078,1.35689
-1077,1.35676
-1076,1.35663
-1075,1.35651
-1074,1.35638
-1073,1.35625
-1072,1.35612
-1071,1.356
-1070,1.35587
-1069,1.35574
-1068,1.35562
-1067,1.35549
-1066,1.35536
-1065,1.35524
-1064,1.35511
-1063,1.35498
-1062,1.35485
-1061,1.35473
-1060,1.3546
-1059,1.35447
-1058,1.35435
-1057,1.35422
-1056,1.35409
-1055,1.35397
-1054,1.35384
-1053,1.35371
-1052,1.35358
-1051,1.35346
-1050,1.35333
-1049,1.3532
-1048,1.35308
-1047,1.35295
-1046,1.35282
-1045,1.3527
-1044,1.35257
-1043,1.35244
-1042,1.35232
-1041,1.35219
-1040,1.35206
-1039,1.35193
-1038,1.35181
-1037,1.35168
-1036,1.35155
-1035,1.35143
-1034,1.3513
-1033,1.35117
-1032,1.35105
-1031,1.35092
-1030,1.35079
-1029,1.35067
-1028,1.35054
-1027,1.35041
-1026,1.35029
-1025,1.35016
-1024,1.35003
-1023,1.34991
-1022,1.34978
-1021,1.34965
-1020,1.34953
-1019,1.3494
-1018,1.34927
-1017,1.34915
-1016,1.34902
-1015,1.34889
-1014,1.34877
-1013,1.34864
-1012,1.34851
-1011,1.34839
-1010,1.34826
-1009,1.34813
-1008,1.34801
-1007,1.34788
-1006,1.34775
-1005,1.34763
-1004,1.3475
-1003,1.34738
-1002,1.34725
-1001,1.34712
-1000,1.347
-999,1.34687
-998,1.34674
-997,1.34662
-996,1.34649
-995,1.34636
-994,1.34624
-993,1.34611
-992,1.34598
-991,1.34586
-990,1.34573
-989,1.34561
-988,1.34548
-987,1.34535
-986,1.34523
-985,1.3451
-984,1.34497
-983,1.34485
-982,1.34472
-981,1.34459
-980,1.34447
-979,1.34434
-978,1.34422
-977,1.34409
-976,1.34396
-975,1.34384
-974,1.34371
-973,1.34358
-972,1.34346
-971,1.34333
-970,1.34321
-969,1.34308
-968,1.34295
-967,1.34283
-966,1.3427
-965,1.34258
-964,1.34245
-963,1.34232
-962,1.3422
-961,1.34207
-960,1.34194
-959,1.34182
-958,1.34169
-957,1.34157
-956,1.34144
-955,1.34131
-954,1.34119
-953,1.34106
-952,1.34094
-951,1.34081
-950,1.34068
-949,1.34056
-948,1.34043
-947,1.34031
-946,1.34018
-945,1.34005
-944,1.33993
-943,1.3398
-942,1.33968
-941,1.33955
-940,1.33942
-939,1.3393
-938,1.33917
-937,1.33905
-936,1.33892
-935,1.33879
-934,1.33867
-933,1.33854
-932,1.33842
-931,1.33829
-930,1.33817
-929,1.33804
-928,1.33791
-927,1.33779
-926,1.33766
-925,1.33754
-924,1.33741
-923,1.33729
-922,1.33716
-921,1.33703
-920,1.33691
-919,1.33678
-918,1.33666
-917,1.33653
-916,1.3364
-915,1.33628
-914,1.33615
-913,1.33603
-912,1.3359
-911,1.33578
-910,1.33565
-909,1.33553
-908,1.3354
-907,1.33527
-906,1.33515
-905,1.33502
-904,1.3349
-903,1.33477
-902,1.33465
-901,1.33452
-900,1.33439
-899,1.33427
-898,1.33414
-897,1.33402
-896,1.33389
-895,1.33377
-894,1.33364
-893,1.33352
-892,1.33339
-891,1.33327
-890,1.33314
-889,1.33301
-888,1.33289
-887,1.33276
-886,1.33264
-885,1.33251
-884,1.33239
-883,1.33226
-882,1.33214
-881,1.33201
-880,1.33189
-879,1.33176
-878,1.33163
-877,1.33151
-876,1.33138
-875,1.33126
-874,1.33113
-873,1.33101
-872,1.33088
-871,1.33076
-870,1.33063
-869,1.33051
-868,1.33038
-867,1.33026
-866,1.33013
-865,1.33001
-864,1.32988
-863,1.32976
-862,1.32963
-861,1.32951
-860,1.32938
-859,1.32925
-858,1.32913
-857,1.329
-856,1.32888
-855,1.32875
-854,1.32863
-853,1.3285
-852,1.32838
-851,1.32825
-850,1.32813
-849,1.328
-848,1.32788
-847,1.32775
-846,1.32763
-845,1.3275
-844,1.32738
-843,1.32725
-842,1.32713
-841,1.327
-840,1.32688
-839,1.32675
-838,1.32663
-837,1.3265
-836,1.32638
-835,1.32625
-834,1.32613
-833,1.326
-832,1.32588
-831,1.32575
-830,1.32563
-829,1.3255
-828,1.32538
-827,1.32525
-826,1.32513
-825,1.325
-824,1.32488
-823,1.32475
-822,1.32463
-821,1.3245
-820,1.32438
-819,1.32425
-818,1.32413
-817,1.324
-816,1.32388
-815,1.32376
-814,1.32363
-813,1.32351
-812,1.32338
-811,1.32326
-810,1.32313
-809,1.32301
-808,1.32288
-807,1.32276
-806,1.32263
-805,1.32251
-804,1.32238
-803,1.32226
-802,1.32213
-801,1.32201
-800,1.32188
-799,1.32176
-798,1.32164
-797,1.32151
-796,1.32139
-795,1.32126
-794,1.32114
-793,1.32101
-792,1.32089
-791,1.32076
-790,1.32064
-789,1.32051
-788,1.32039
-787,1.32026
-786,1.32014
-785,1.32002
-784,1.31989
-783,1.31977
-782,1.31964
-781,1.31952
-780,1.31939
-779,1.31927
-778,1.31914
-777,1.31902
-776,1.3189
-775,1.31877
-774,1.31865
-773,1.31852
-772,1.3184
-771,1.31827
-770,1.31815
-769,1.31802
-768,1.3179
-767,1.31778
-766,1.31765
-765,1.31753
-764,1.3174
-763,1.31728
-762,1.31715
-761,1.31703
-760,1.31691
-759,1.31678
-758,1.31666
-757,1.31653
-756,1.31641
-755,1.31628
-754,1.31616
-753,1.31604
-752,1.31591
-751,1.31579
-750,1.31566
-749,1.31554
-748,1.31541
-747,1.31529
-746,1.31517
-745,1.31504
-744,1.31492
-743,1.31479
-742,1.31467
-741,1.31455
-740,1.31442
-739,1.3143
-738,1.31417
