Altitude (m),Air density (kg/m3)
9488,0.439545
9489,0.439491
9490,0.439437
9491,0.439384
9492,0.43933
9493,0.439276
9494,0.439223
9495,0.439169
9496,0.439115
9497,0.439062
9498,0.439008
9499,0.438954
9500,0.438901
9501,0.438847
9502,0.438793
9503,0.43874
9504,0.438686
9505,0.438633
9506,0.438579
9507,0.438525
9508,0.438472
9509,0.438418
9510,0.438365
9511,0.438311
9512,0.438258
9513,0.438204
9514,0.43815
9515,0.438097
9516,0.438043
9517,0.43799
9518,0.437936
9519,0.437883
9520,0.437829
9521,0.437776
9522,0.437722
9523,0.437669
9524,0.437615
9525,0.437562
9526,0.437508
9527,0.437455
9528,0.437401
9529,0.437348
9530,0.437294
9531,0.437241
9532,0.437187
9533,0.437134
9534,0.43708
9535,0.437027
9536,0.436973
9537,0.43692
9538,0.436866
9539,0.436813
9540,0.43676
9541,0.436706
9542,0.436653
9543,0.436599
9544,0.436546
9545,0.436492
9546,0.436439
9547,0.436386
9548,0.436332
9549,0.436279
9550,0.436226
9551,0.436172
9552,0.436119
9553,0.436065
9554,0.436012
9555,0.435959
9556,0.435905
9557,0.435852
9558,0.435799
9559,0.435745
9560,0.435692
9561,0.435639
9562,0.435585
9563,0.435532
9564,0.435479
9565,0.435425
9566,0.435372
9567,0.435319
9568,0.435266
9569,0.435212
9570,0.435159
9571,0.435106
9572,0.435052
9573,0.434999
9574,0.434946
9575,0.434893
9576,0.434839
9577,0.434786
9578,0.434733
9579,0.43468
9580,0.434626
9581,0.434573
9582,0.43452
9583,0.434467
9584,0.434414
9585,0.43436
9586,0.434307
9587,0.434254
9588,0.434201
9589,0.434148
9590,0.434094
9591,0.434041
9592,0.433988
9593,0.433935
9594,0.433882
9595,0.433829
9596,0.433775
9597,0.433722
9598,0.433669
9599,0.433616
9600,0.433563
9601,0.43351
9602,0.433457
9603,0.433404
9604,0.43335
9605,0.433297
9606,0.433244
9607,0.433191
9608,0.433138
9609,0.433085
9610,0.433032
9611,0.432979
9612,0.432926
9613,0.432873
9614,0.43282
9615,0.432767
9616,0.432713
9617,0.43266
9618,0.432607
9619,0.432554
9620,0.432501
9621,0.432448
9622,0.432395
9623,0.432342
9624,0.432289
9625,0.432236
9626,0.432183
9627,0.43213
9628,0.432077
9629,0.432024
9630,0.431971
9631,0.431918
9632,0.431865
9633,0.431812
9634,0.431759
9635,0.431706
9636,0.431653
9637,0.431601
9638,0.431548
9639,0.431495
9640,0.431442
9641,0.431389
9642,0.431336
9643,0.431283
9644,0.43123
9645,0.431177
9646,0.431124
9647,0.431071
9648,0.431018
9649,0.430966
9650,0.430913
9651,0.43086
9652,0.430807
9653,0.430754
9654,0.430701
9655,0.430648
9656,0.430595
9657,0.430543
9658,0.43049
9659,0.430437
9660,0.430384
9661,0.430331
9662,0.430278
9663,0.430226
9664,0.430173
9665,0.43012
9666,0.430067
9667,0.430014
9668,0.429962
9669,0.429909
9670,0.429856
9671,0.429803
9672,0.429751
9673,0.429698
9674,0.429645
9675,0.429592
9676,0.429539
9677,0.429487
9678,0.429434
9679,0.429381
9680,0.429329
9681,0.429276
9682,0.429223
9683,0.42917
9684,0.429118
9685,0.429065
9686,0.429012
9687,0.42896
9688,0.428907
9689,0.428854
9690,0.428801
9691,0.428749
9692,0.428696
9693,0.428643
9694,0.428591
9695,0.428538
9696,0.428485
9697,0.428433
9698,0.42838
9699,0.428328
9700,0.428275
9701,0.428222
9702,0.42817
9703,0.428117
9704,0.428064
9705,0.428012
9706,0.427959
9707,0.427907
9708,0.427854
9709,0.427801
9710,0.427749
9711,0.427696
9712,0.427644
9713,0.427591
9714,0.427539
9715,0.427486
9716,0.427433
9717,0.427381
9718,0.427328
9719,0.427276
9720,0.427223
9721,0.427171
9722,0.427118
9723,0.427066
9724,0.427013
9725,0.426961
9726,0.426908
9727,0.426856
9728,0.426803
9729,0.426751
9730,0.426698
9731,0.426646
9732,0.426593
9733,0.426541
9734,0.426488
9735,0.426436
9736,0.426383
9737,0.426331
9738,0.426278
9739,0.426226
9740,0.426174
9741,0.426121
9742,0.426069
9743,0.426016
9744,0.425964
9745,0.425911
9746,0.425859
9747,0.425807
9748,0.425754
9749,0.425702
9750,0.425649
9751,0.425597
9752,0.425545
9753,0.425492
9754,0.42544
9755,0.425388
9756,0.425335
9757,0.425283
9758,0.425231
9759,0.425178
9760,0.425126
9761,0.425074
9762,0.425021
9763,0.424969
9764,0.424917
9765,0.424864
9766,0.424812
9767,0.42476
9768,0.424707
9769,0.424655
9770,0.424603
9771,0.42455
9772,0.424498
9773,0.424446
9774,0.424394
9775,0.424341
9776,0.424289
9777,0.424237
9778,0.424185
9779,0.424132
9780,0.42408
9781,0.424028
9782,0.423976
9783,0.423923
9784,0.423871
9785,0.423819
9786,0.423767
9787,0.423715
9788,0.423662
9789,0.42361
9790,0.423558
9791,0.423506
9792,0.423454
9793,0.423401
9794,0.423349
9795,0.423297
9796,0.423245
9797,0.423193
9798,0.423141
9799,0.423089
9800,0.423036
9801,0.422984
9802,0.422932
9803,0.42288
9804,0.422828
9805,0.422776
9806,0.422724
9807,0.422672
9808,0.422619
9809,0.422567
9810,0.422515
9811,0.422463
9812,0.422411
9813,0.422359
9814,0.422307
9815,0.422255
9816,0.422203
9817,0.422151
9818,0.422099
9819,0.422047
9820,0.421995
9821,0.421943
9822,0.421891
9823,0.421838
9824,0.421786
9825,0.421734
9826,0.421682
9827,0.42163
9828,0.421578
9829,0.421526
9830,0.421474
9831,0.421422
9832,0.42137
9833,0.421318
9834,0.421267
9835,0.421215
9836,0.421163
9837,0.421111
9838,0.421059
9839,0.421007
9840,0.420955
9841,0.420903
9842,0.420851
9843,0.420799
9844,0.420747
9845,0.420695
9846,0.420643
9847,0.420591
9848,0.420539
9849,0.420487
9850,0.420436
9851,0.420384
9852,0.420332
9853,0.42028
9854,0.420228
9855,0.420176
9856,0.420124
9857,0.420072
9858,0.420021
9859,0.419969
9860,0.419917
9861,0.419865
9862,0.419813
9863,0.419761
9864,0.41971
9865,0.419658
9866,0.419606
9867,0.419554
9868,0.419502
9869,0.419451
9870,0.419399
9871,0.419347
9872,0.419295
9873,0.419243
9874,0.419192
9875,0.41914
9876,0.419088
9877,0.419036
9878,0.418984
9879,0.418933
9880,0.418881
9881,0.418829
9882,0.418778
9883,0.418726
9884,0.418674
9885,0.418622
9886,0.418571
9887,0.418519
9888,0.418467
9889,0.418415
9890,0.418364
9891,0.418312
9892,0.41826
9893,0.418209
9894,0.418157
9895,0.418105
9896,0.418054
9897,0.418002
9898,0.41795
9899,0.417899
9900,0.417847
9901,0.417795
9902,0.417744
9903,0.417692
9904,0.41764
9905,0.417589
9906,0.417537
9907,0.417486
9908,0.417434
9909,0.417382
9910,0.417331
9911,0.417279
9912,0.417228
9913,0.417176
9914,0.417124
9915,0.417073
9916,0.417021
9917,0.41697
9918,0.416918
9919,0.416867
9920,0.416815
9921,0.416763
9922,0.416712
9923,0.41666
9924,0.416609
9925,0.416557
9926,0.416506
9927,0.416454
9928,0.416403
9929,0.416351
9930,0.4163
9931,0.416248
9932,0.416197
9933,0.416145
9934,0.416094
9935,0.416042
9936,0.415991
9937,0.415939
9938,0.415888
9939,0.415836
9940,0.415785
9941,0.415734
9942,0.415682
9943,0.415631
9944,0.415579
9945,0.415528
9946,0.415476
9947,0.415425
9948,0.415374
9949,0.415322
9950,0.415271
9951,0.415219
9952,0.415168
9953,0.415117
9954,0.415065
9955,0.415014
9956,0.414962
9957,0.414911
9958,0.41486
9959,0.414808
9960,0.414757
9961,0.414706
9962,0.414654
9963,0.414603
9964,0.414552
9965,0.4145
9966,0.414449
9967,0.414398
9968,0.414346
9969,0.414295
9970,0.414244
9971,0.414192
9972,0.414141
9973,0.41409
9974,0.414038
9975,0.413987
9976,0.413936
9977,0.413885
9978,0.413833
9979,0.413782
9980,0.413731
9981,0.413679
9982,0.413628
9983,0.413577
9984,0.413526
9985,0.413475
9986,0.413423
9987,0.413372
9988,0.413321
9989,0.41327
9990,0.413218
9991,0.413167
9992,0.413116
9993,0.413065
9994,0.413014
9995,0.412962
9996,0.412911
9997,0.41286
9998,0.412809
9999,0.412758
10000,0.412707
10001,0.412655
10002,0.412604
10003,0.412553
10004,0.412502
10005,0.412451
10006,0.4124
10007,0.412349
10008,0.412297
10009,0.412246
10010,0.412195
10011,0.412144
10012,0.412093
10013,0.412042
10014,0.411991
10015,0.41194
10016,0.411889
10017,0.411837
10018,0.411786
10019,0.411735
10020,0.411684
10021,0.411633
10022,0.411582
10023,0.411531
10024,0.41148
10025,0.411429
10026,0.411378
10027,0.411327
10028,0.411276
10029,0.411225
10030,0.411174
10031,0.411123
10032,0.411072
10033,0.411021
10034,0.41097
10035,0.410919
10036,0.410868
10037,0.410817
10038,0.410766
10039,0.410715
10040,0.410664
10041,0.410613
10042,0.410562
10043,0.410511
10044,0.41046
10045,0.410409
10046,0.410358
10047,0.410307
10048,0.410256
10049,0.410205
10050,0.410155
10051,0.410104
10052,0.410053
10053,0.410002
10054,0.409951
10055,0.4099
10056,0.409849
10057,0.409798
10058,0.409747
10059,0.409696
10060,0.409646
10061,0.409595
10062,0.409544
10063,0.409493
10064,0.409442
10065,0.409391
10066,0.40934
10067,0.40929
10068,0.409239
10069,0.409188
10070,0.409137
10071,0.409086
10072,0.409035
10073,0.408985
10074,0.408934
10075,0.408883
10076,0.408832
10077,0.408781
10078,0.408731
10079,0.40868
10080,0.408629
10081,0.408578
10082,0.408528
10083,0.408477
10084,0.408426
10085,0.408375
10086,0.408325
10087,0.408274
10088,0.408223
10089,0.408172
10090,0.408122
10091,0.408071
10092,0.40802
10093,0.407969
10094,0.407919
10095,0.407868
10096,0.407817
10097,0.407767
10098,0.407716
10099,0.407665
10100,0.407615
10101,0.407564
10102,0.407513
10103,0.407463
10104,0.407412
10105,0.407361
10106,0.407311
10107,0.40726
10108,0.407209
10109,0.407159
10110,0.407108
10111,0.407057
10112,0.407007
10113,0.406956
10114,0.406906
10115,0.406855
10116,0.406804
10117,0.406754
10118,0.406703
10119,0.406653
10120,0.406602
10121,0.406551
10122,0.406501
10123,0.40645
10124,0.4064
10125,0.406349
10126,0.406299
10127,0.406248
10128,0.406197
10129,0.406147
10130,0.406096
10131,0.406046
10132,0.405995
10133,0.405945
10134,0.405894
10135,0.405844
10136,0.405793
10137,0.405743
10138,0.405692
10139,0.405642
10140,0.405591
10141,0.405541
10142,0.40549
10143,0.40544
10144,0.405389
10145,0.405339
10146,0.405288
10147,0.405238
10148,0.405188
10149,0.405137
10150,0.405087
10151,0.405036
10152,0.404986
10153,0.404935
10154,0.404885
10155,0.404835
10156,0.404784
10157,0.404734
10158,0.404683
10159,0.404633
10160,0.404583
10161,0.404532
10162,0.404482
10163,0.404431
10164,0.404381
10165,0.404331
10166,0.40428
10167,0.40423
10168,0.40418
10169,0.404129
10170,0.404079
10171,0.404029
10172,0.403978
10173,0.403928
10174,0.403878
10175,0.403827
10176,0.403777
10177,0.403727
10178,0.403676
10179,0.403626
10180,0.403576
10181,0.403525
10182,0.403475
10183,0.403425
10184,0.403375
10185,0.403324
10186,0.403274
10187,0.403224
10188,0.403173
10189,0.403123
10190,0.403073
10191,0.403023
10192,0.402973
10193,0.402922
10194,0.402872
10195,0.402822
10196,0.402772
10197,0.402721
10198,0.402671
10199,0.402621
10200,0.402571
10201,0.402521
10202,0.40247
10203,0.40242
10204,0.40237
10205,0.40232
10206,0.40227
10207,0.40222
10208,0.402169
10209,0.402119
10210,0.402069
10211,0.402019
10212,0.401969
10213,0.401919
10214,0.401868
10215,0.401818
10216,0.401768
10217,0.401718
10218,0.401668
10219,0.401618
10220,0.401568
10221,0.401518
10222,0.401468
10223,0.401417
10224,0.401367
10225,0.401317
10226,0.401267
10227,0.401217
10228,0.401167
10229,0.401117
10230,0.401067
10231,0.401017
10232,0.400967
10233,0.400917
10234,0.400867
10235,0.400817
10236,0.400767
10237,0.400717
10238,0.400667
10239,0.400617
10240,0.400567
10241,0.400517
10242,0.400467
10243,0.400417
10244,0.400367
10245,0.400317
10246,0.400267
10247,0.400217
10248,0.400167
10249,0.400117
10250,0.400067
10251,0.400017
10252,0.399967
10253,0.399917
10254,0.399867
10255,0.399817
10256,0.399767
10257,0.399717
10258,0.399667
10259,0.399617
10260,0.399568
10261,0.399518
10262,0.399468
10263,0.399418
10264,0.399368
10265,0.399318
10266,0.399268
10267,0.399218
10268,0.399168
10269,0.399119
10270,0.399069
10271,0.399019
10272,0.398969
10273,0.398919
10274,0.398869
10275,0.398819
10276,0.39877
10277,0.39872
10278,0.39867
10279,0.39862
10280,0.39857
10281,0.39852
10282,0.398471
10283,0.398421
10284,0.398371
10285,0.398321
10286,0.398271
10287,0.398222
10288,0.398172
10289,0.398122
10290,0.398072
10291,0.398023
10292,0.397973
10293,0.397923
10294,0.397873
10295,0.397824
10296,0.397774
10297,0.397724
10298,0.397674
10299,0.397625
10300,0.397575
10301,0.397525
10302,0.397475
10303,0.397426
10304,0.397376
10305,0.397326
10306,0.397277
10307,0.397227
10308,0.397177
10309,0.397128
10310,0.397078
10311,0.397028
10312,0.396979
10313,0.396929
10314,0.396879
10315,0.39683
10316,0.39678
10317,0.39673
10318,0.396681
10319,0.396631
10320,0.396581
10321,0.396532
10322,0.396482
10323,0.396433
10324,0.396383
10325,0.396333
10326,0.396284
10327,0.396234
10328,0.396185
10329,0.396135
10330,0.396085
10331,0.396036
10332,0.395986
10333,0.395937
10334,0.395887
10335,0.395838
10336,0.395788
10337,0.395738
10338,0.395689
10339,0.395639
10340,0.39559
10341,0.39554
10342,0.395491
10343,0.395441
10344,0.395392
10345,0.395342
10346,0.395293
10347,0.395243
10348,0.395194
10349,0.395144
10350,0.395095
10351,0.395045
10352,0.394996
10353,0.394946
10354,0.394897
10355,0.394847
10356,0.394798
10357,0.394749
10358,0.394699
10359,0.39465
10360,0.3946
10361,0.394551
10362,0.394501
10363,0.394452
10364,0.394402
10365,0.394353
10366,0.394304
10367,0.394254
10368,0.394205
10369,0.394155
10370,0.394106
10371,0.394057
10372,0.394007
10373,0.393958
10374,0.393909
10375,0.393859
10376,0.39381
10377,0.39376
10378,0.393711
10379,0.393662
10380,0.393612
10381,0.393563
10382,0.393514
10383,0.393464
10384,0.393415
10385,0.393366
10386,0.393316
10387,0.393267
10388,0.393218
10389,0.393169
10390,0.393119
10391,0.39307
10392,0.393021
10393,0.392971
10394,0.392922
10395,0.392873
10396,0.392824
10397,0.392774
10398,0.392725
10399,0.392676
10400,0.392627
10401,0.392577
10402,0.392528
10403,0.392479
10404,0.39243
10405,0.39238
10406,0.392331
10407,0.392282
10408,0.392233
10409,0.392184
10410,0.392134
10411,0.392085
10412,0.392036
10413,0.391987
10414,0.391938
10415,0.391888
10416,0.391839
10417,0.39179
10418,0.391741
10419,0.391692
10420,0.391643
10421,0.391593
10422,0.391544
10423,0.391495
10424,0.391446
10425,0.391397
10426,0.391348
10427,0.391299
10428,0.39125
10429,0.3912
10430,0.391151
10431,0.391102
10432,0.391053
10433,0.391004
10434,0.390955
10435,0.390906
10436,0.390857
10437,0.390808
10438,0.390759
10439,0.39071
10440,0.39066
10441,0.390611
10442,0.390562
10443,0.390513
10444,0.390464
10445,0.390415
10446,0.390366
10447,0.390317
10448,0.390268
10449,0.390219
10450,0.39017
10451,0.390121
10452,0.390072
10453,0.390023
10454,0.389974
10455,0.389925
10456,0.389876
10457,0.389827
10458,0.389778
10459,0.389729
10460,0.38968
10461,0.389631
10462,0.389582
10463,0.389533
10464,0.389484
10465,0.389436
10466,0.389387
10467,0.389338
10468,0.389289
10469,0.38924
10470,0.389191
10471,0.389142
10472,0.389093
10473,0.389044
10474,0.388995
10475,0.388946
10476,0.388897
10477,0.388849
10478,0.3888
10479,0.388751
10480,0.388702
10481,0.388653
10482,0.388604
10483,0.388555
10484,0.388506
10485,0.388458
10486,0.388409
10487,0.38836
10488,0.388311
10489,0.388262
10490,0.388213
10491,0.388165
10492,0.388116
10493,0.388067
10494,0.388018
10495,0.387969
10496,0.387921
10497,0.387872
10498,0.387823
10499,0.387774
10500,0.387725
10501,0.387677
10502,0.387628
10503,0.387579
10504,0.38753
10505,0.387482
10506,0.387433
10507,0.387384
10508,0.387335
10509,0.387287
10510,0.387238
10511,0.387189
10512,0.387141
10513,0.387092
10514,0.387043
10515,0.386994
10516,0.386946
10517,0.386897
10518,0.386848
10519,0.3868
10520,0.386751
10521,0.386702
10522,0.386654
10523,0.386605
10524,0.386556
10525,0.386508
10526,0.386459
10527,0.38641
10528,0.386362
10529,0.386313
10530,0.386264
10531,0.386216
10532,0.386167
10533,0.386118
10534,0.38607
10535,0.386021
10536,0.385973
10537,0.385924
10538,0.385875
10539,0.385827
10540,0.385778
10541,0.38573
10542,0.385681
10543,0.385632
10544,0.385584
10545,0.385535
10546,0.385487
10547,0.385438
10548,0.38539
10549,0.385341
10550,0.385293
10551,0.385244
10552,0.385195
10553,0.385147
10554,0.385098
10555,0.38505
10556,0.385001
10557,0.384953
10558,0.384904
10559,0.384856
10560,0.384807
10561,0.384759
10562,0.38471
10563,0.384662
10564,0.384613
10565,0.384565
10566,0.384517
10567,0.384468
10568,0.38442
10569,0.384371
10570,0.384323
10571,0.384274
10572,0.384226
10573,0.384177
10574,0.384129
10575,0.384081
10576,0.384032
10577,0.383984
10578,0.383935
10579,0.383887
10580,0.383838
10581,0.38379
10582,0.383742
10583,0.383693
10584,0.383645
10585,0.383596
10586,0.383548
10587,0.3835
10588,0.383451
10589,0.383403
10590,0.383355
10591,0.383306
10592,0.383258
10593,0.38321
10594,0.383161
10595,0.383113
10596,0.383065
10597,0.383016
10598,0.382968
10599,0.38292
10600,0.382871
10601,0.382823
10602,0.382775
10603,0.382726
10604,0.382678
10605,0.38263
10606,0.382582
10607,0.382533
10608,0.382485
10609,0.382437
10610,0.382389
10611,0.38234
10612,0.382292
10613,0.382244
10614,0.382196
10615,0.382147
10616,0.382099
10617,0.382051
10618,0.382003
10619,0.381954
10620,0.381906
10621,0.381858
10622,0.38181
10623,0.381762
10624,0.381713
10625,0.381665
10626,0.381617
10627,0.381569
10628,0.381521
10629,0.381472
10630,0.381424
10631,0.381376
10632,0.381328
10633,0.38128
10634,0.381232
10635,0.381183
10636,0.381135
10637,0.381087
10638,0.381039
10639,0.380991
10640,0.380943
10641,0.380895
10642,0.380847
10643,0.380798
10644,0.38075
10645,0.380702
10646,0.380654
10647,0.380606
10648,0.380558
10649,0.38051
10650,0.380462
10651,0.380414
10652,0.380366
10653,0.380318
10654,0.38027
10655,0.380221
10656,0.380173
10657,0.380125
10658,0.380077
10659,0.380029
10660,0.379981
10661,0.379933
10662,0.379885
10663,0.379837
10664,0.379789
10665,0.379741
10666,0.379693
10667,0.379645
10668,0.379597
10669,0.379549
10670,0.379501
10671,0.379453
10672,0.379405
10673,0.379357
10674,0.379309
10675,0.379261
10676,0.379213
10677,0.379165
10678,0.379118
10679,0.37907
10680,0.379022
10681,0.378974
10682,0.378926
10683,0.378878
10684,0.37883
10685,0.378782
10686,0.378734
10687,0.378686
10688,0.378638
10689,0.37859
10690,0.378543
10691,0.378495
10692,0.378447
10693,0.378399
10694,0.378351
10695,0.378303
10696,0.378255
10697,0.378207
10698,0.37816
10699,0.378112
10700,0.378064
10701,0.378016
10702,0.377968
10703,0.37792
10704,0.377873
10705,0.377825
10706,0.377777
10707,0.377729
10708,0.377681
10709,0.377633
10710,0.377586
10711,0.377538
10712,0.37749
10713,0.377442
10714,0.377395
10715,0.377347
10716,0.377299
10717,0.377251
10718,0.377203
10719,0.377156
10720,0.377108
10721,0.37706
10722,0.377012
10723,0.376965
10724,0.376917
10725,0.376869
10726,0.376822
10727,0.376774
10728,0.376726
10729,0.376678
10730,0.376631
10731,0.376583
10732,0.376535
10733,0.376488
10734,0.37644
10735,0.376392
10736,0.376345
10737,0.376297
10738,0.376249
10739,0.376202
10740,0.376154
10741,0.376106
10742,0.376059
10743,0.376011
10744,0.375963
10745,0.375916
10746,0.375868
10747,0.37582
10748,0.375773
10749,0.375725
10750,0.375677
10751,0.37563
10752,0.375582
10753,0.375535
10754,0.375487
10755,0.375439
10756,0.375392
10757,0.375344
10758,0.375297
10759,0.375249
10760,0.375202
10761,0.375154
10762,0.375106
10763,0.375059
10764,0.375011
10765,0.374964
10766,0.374916
10767,0.374869
10768,0.374821
10769,0.374774
10770,0.374726
10771,0.374679
10772,0.374631
10773,0.374584
10774,0.374536
10775,0.374489
10776,0.374441
10777,0.374394
10778,0.374346
10779,0.374299
10780,0.374251
10781,0.374204
10782,0.374156
10783,0.374109
10784,0.374061
10785,0.374014
10786,0.373966
10787,0.373919
10788,0.373872
10789,0.373824
10790,0.373777
10791,0.373729
10792,0.373682
10793,0.373634
10794,0.373587
10795,0.37354
10796,0.373492
10797,0.373445
10798,0.373397
10799,0.37335
10800,0.373303
10801,0.373255
10802,0.373208
10803,0.373161
10804,0.373113
10805,0.373066
10806,0.373018
10807,0.372971
10808,0.372924
10809,0.372876
10810,0.372829
10811,0.372782
10812,0.372734
10813,0.372687
10814,0.37264
10815,0.372592
10816,0.372545
10817,0.372498
10818,0.372451
10819,0.372403
10820,0.372356
10821,0.372309
10822,0.372261
10823,0.372214
10824,0.372167
10825,0.37212
10826,0.372072
10827,0.372025
10828,0.371978
10829,0.371931
10830,0.371883
10831,0.371836
10832,0.371789
10833,0.371742
10834,0.371694
10835,0.371647
10836,0.3716
10837,0.371553
10838,0.371506
10839,0.371458
10840,0.371411
10841,0.371364
10842,0.371317
10843,0.37127
10844,0.371222
10845,0.371175
10846,0.371128
10847,0.371081
10848,0.371034
10849,0.370987
10850,0.370939
10851,0.370892
10852,0.370845
10853,0.370798
10854,0.370751
10855,0.370704
10856,0.370657
10857,0.370609
10858,0.370562
10859,0.370515
10860,0.370468
10861,0.370421
10862,0.370374
10863,0.370327
10864,0.37028
10865,0.370233
10866,0.370186
10867,0.370138
10868,0.370091
10869,0.370044
10870,0.369997
10871,0.36995
10872,0.369903
10873,0.369856
10874,0.369809
10875,0.369762
10876,0.369715
10877,0.369668
10878,0.369621
10879,0.369574
10880,0.369527
10881,0.36948
10882,0.369433
10883,0.369386
10884,0.369339
10885,0.369292
10886,0.369245
10887,0.369198
10888,0.369151
10889,0.369104
10890,0.369057
10891,0.36901
10892,0.368963
10893,0.368916
10894,0.368869
10895,0.368822
10896,0.368775
10897,0.368728
10898,0.368681
10899,0.368634
10900,0.368588
10901,0.368541
10902,0.368494
10903,0.368447
10904,0.3684
10905,0.368353
10906,0.368306
10907,0.368259
10908,0.368212
10909,0.368165
10910,0.368119
10911,0.368072
10912,0.368025
10913,0.367978
10914,0.367931
10915,0.367884
10916,0.367837
10917,0.36779
10918,0.367744
10919,0.367697
10920,0.36765
10921,0.367603
10922,0.367556
10923,0.367509
10924,0.367463
10925,0.367416
10926,0.367369
10927,0.367322
10928,0.367275
10929,0.367229
10930,0.367182
10931,0.367135
10932,0.367088
10933,0.367042
10934,0.366995
10935,0.366948
10936,0.366901
10937,0.366854
10938,0.366808
10939,0.366761
10940,0.366714
10941,0.366668
10942,0.366621
10943,0.366574
10944,0.366527
10945,0.366481
10946,0.366434
10947,0.366387
10948,0.36634
10949,0.366294
10950,0.366247
10951,0.3662
10952,0.366154
10953,0.366107
10954,0.36606
10955,0.366014
10956,0.365967
10957,0.36592
10958,0.365874
10959,0.365827
10960,0.36578
10961,0.365734
10962,0.365687
10963,0.36564
10964,0.365594
10965,0.365547
10966,0.365501
10967,0.365454
10968,0.365407
10969,0.365361
10970,0.365314
10971,0.365267
10972,0.365221
10973,0.365174
10974,0.365128
10975,0.365081
10976,0.365035
10977,0.364988
10978,0.364941
10979,0.364895
10980,0.364848
10981,0.364802
10982,0.364755
10983,0.364709
10984,0.364662
10985,0.364616
10986,0.364569
10987,0.364522
10988,0.364476
10989,0.364429
10990,0.364383
10991,0.364336
10992,0.36429
10993,0.364243
10994,0.364197
10995,0.36415
10996,0.364104
10997,0.364057
10998,0.364011
10999,0.363964
11000,0.363918
11001,0.363861
11002,0.363803
11003,0.363746
11004,0.363689
11005,0.363631
11006,0.363574
11007,0.363517
11008,0.363459
11009,0.363402
11010,0.363345
11011,0.363287
11012,0.36323
11013,0.363173
11014,0.363116
11015,0.363058
11016,0.363001
11017,0.362944
11018,0.362887
11019,0.362829
11020,0.362772
11021,0.362715
11022,0.362658
11023,0.362601
11024,0.362543
11025,0.362486
11026,0.362429
11027,0.362372
11028,0.362315
11029,0.362258
11030,0.362201
11031,0.362143
11032,0.362086
11033,0.362029
11034,0.361972
11035,0.361915
11036,0.361858
11037,0.361801
11038,0.361744
11039,0.361687
11040,0.36163
11041,0.361573
11042,0.361516
11043,0.361459
11044,0.361402
11045,0.361345
11046,0.361288
11047,0.361231
11048,0.361174
11049,0.361117
11050,0.36106
11051,0.361003
11052,0.360946
11053,0.360889
11054,0.360832
11055,0.360775
11056,0.360719
11057,0.360662
11058,0.360605
11059,0.360548
11060,0.360491
11061,0.360434
11062,0.360377
11063,0.360321
11064,0.360264
11065,0.360207
11066,0.36015
11067,0.360093
11068,0.360037
11069,0.35998
11070,0.359923
11071,0.359866
11072,0.35981
11073,0.359753
11074,0.359696
11075,0.359639
11076,0.359583
11077,0.359526
11078,0.359469
11079,0.359413
11080,0.359356
11081,0.359299
11082,0.359243
11083,0.359186
11084,0.359129
11085,0.359073
11086,0.359016
11087,0.35896
11088,0.358903
11089,0.358846
11090,0.35879
11091,0.358733
11092,0.358677
11093,0.35862
11094,0.358564
11095,0.358507
11096,0.35845
11097,0.358394
11098,0.358337
11099,0.358281
11100,0.358224
11101,0.358168
11102,0.358112
11103,0.358055
11104,0.357999
11105,0.357942
11106,0.357886
11107,0.357829
11108,0.357773
11109,0.357716
11110,0.35766
11111,0.357604
11112,0.357547
11113,0.357491
11114,0.357435
11115,0.357378
11116,0.357322
11117,0.357265
11118,0.357209
11119,0.357153
11120,0.357096
11121,0.35704
11122,0.356984
11123,0.356928
11124,0.356871
11125,0.356815
11126,0.356759
11127,0.356703
11128,0.356646
11129,0.35659
11130,0.356534
11131,0.356478
11132,0.356421
11133,0.356365
11134,0.356309
11135,0.356253
11136,0.356197
11137,0.356141
11138,0.356084
11139,0.356028
11140,0.355972
11141,0.355916
11142,0.35586
11143,0.355804
11144,0.355748
11145,0.355692
11146,0.355635
11147,0.355579
11148,0.355523
11149,0.355467
11150,0.355411
11151,0.355355
11152,0.355299
11153,0.355243
11154,0.355187
11155,0.355131
11156,0.355075
11157,0.355019
11158,0.354963
11159,0.354907
11160,0.354851
11161,0.354795
11162,0.354739
11163,0.354683
11164,0.354627
11165,0.354572
11166,0.354516
11167,0.35446
11168,0.354404
11169,0.354348
11170,0.354292
11171,0.354236
11172,0.35418
11173,0.354124
11174,0.354069
11175,0.354013
11176,0.353957
11177,0.353901
11178,0.353845
11179,0.35379
11180,0.353734
11181,0.353678
11182,0.353622
11183,0.353567
11184,0.353511
11185,0.353455
11186,0.353399
11187,0.353344
11188,0.353288
11189,0.353232
11190,0.353176
11191,0.353121
11192,0.353065
11193,0.353009
11194,0.352954
11195,0.352898
11196,0.352842
11197,0.352787
11198,0.352731
11199,0.352676
11200,0.35262
11201,0.352564
11202,0.352509
11203,0.352453
11204,0.352398
11205,0.352342
11206,0.352287
11207,0.352231
11208,0.352175
11209,0.35212
11210,0.352064
11211,0.352009
11212,0.351953
11213,0.351898
11214,0.351842
11215,0.351787
11216,0.351731
11217,0.351676
11218,0.351621
11219,0.351565
11220,0.35151
11221,0.351454
11222,0.351399
11223,0.351343
11224,0.351288
11225,0.351233
11226,0.351177
11227,0.351122
11228,0.351067
11229,0.351011
11230,0.350956
11231,0.3509
11232,0.350845
11233,0.35079
11234,0.350735
